participantCode,parentPost,condition,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
zf1er9,65722c9983a42f001fccf20b,pure_control,14,89.52,9.23,24.32,,7,21.43,78.57,71.43,57.14,14.29,7.14,7.14,0,0,0,0,7.14,21.43,14.29,0,14.29,7.14,7.14,0,0,14.29,0,0,0,0,0,0,14.29,0,14.29,7.14,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,7.14,0,7.14,0,0,42.86,0,0,0,14.29,0,28.57,0
zf1er9,N/A,pure_control,35,79.45,57.11,99,94.7,11.67,28.57,91.43,65.71,51.43,5.71,5.71,0,2.86,0,0,2.86,0,11.43,8.57,0,14.29,8.57,8.57,2.86,2.86,17.14,5.71,0,2.86,2.86,0,0,17.14,2.86,14.29,8.57,5.71,0,0,0,2.86,0,5.71,5.71,0,2.86,2.86,0,0,0,0,0,11.43,0,0,0,0,0,0,5.71,0,0,0,0,8.57,8.57,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14.29,0,2.86,14.29,0,0,0,8.57,2.86,11.43,0,0,0,0,0,0,11.43,2.86,2.86,0,5.71,0,0,0
zf1er9,657899146d158d001f1856cc,pure_control,3,10.19,,,99,3,0,100,100,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,33.33,0,0,66.67,0,33.33,0,33.33,0,0,0
8gch37,654e2ecbf18dbd001f7aaf46,treat,19,67.62,,1,,6.33,26.32,78.95,57.89,47.37,0,0,0,0,0,0,0,0,10.53,10.53,0,10.53,15.79,5.26,10.53,0,21.05,0,0,5.26,0,5.26,0,15.79,5.26,10.53,5.26,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,5.26,0,0,0,0,0,5.26,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,0,0,0,0,0,0,0,0,15.79,10.53,0,5.26,0,5.26,0,0,26.32,10.53,5.26,0,5.26,0,5.26,0
8gch37,654e2ecdf18dbd001f7ab3ec,treat,21,5.14,4.61,99,,10.5,19.05,100,80.95,66.67,14.29,4.76,4.76,0,0,0,0,9.52,23.81,0,9.52,14.29,14.29,9.52,9.52,4.76,28.57,4.76,14.29,0,0,0,0,23.81,4.76,19.05,4.76,4.76,0,4.76,0,9.52,0,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0,9.52,0,0,0,0,9.52,9.52,0,0,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,9.52,0,0,9.52,0,0,0,4.76,9.52,9.52,0,0,0,0,0,0,19.05,4.76,0,4.76,0,9.52,0,0
8gch37,N/A,treat,25,3.8,94.01,1,81.12,12.5,24,88,64,56,16,12,0,8,0,0,4,4,16,4,0,8,16,8,4,8,24,4,4,16,8,4,4,12,0,12,0,4,8,0,0,4,0,4,4,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,16,0,0,0,0,12,12,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,16,4,0,4,0,8,0,0
nyuhem,N/A,control,51,74.58,12.77,32.94,4.72,25.5,19.61,92.16,64.71,49.02,7.84,5.88,5.88,0,0,0,0,1.96,7.84,7.84,0,13.73,13.73,1.96,3.92,1.96,27.45,3.92,0,9.8,0,1.96,7.84,21.57,0,21.57,5.88,0,1.96,5.88,1.96,1.96,0,5.88,1.96,3.92,0,0,0,0,0,0,0,9.8,5.88,1.96,0,0,3.92,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,11.76,7.84,3.92,0,3.92,0,0,0,0,0,1.96,5.88,0,0,0,0,0,9.8,3.92,1.96,0,0,3.92,0,0
nyuhem,65789b036d158d001f188a87,control,22,45.12,86.82,5.07,1,11,22.73,81.82,54.55,40.91,9.09,9.09,0,0,0,0,4.55,0,9.09,0,0,9.09,13.64,0,4.55,0,18.18,4.55,9.09,9.09,0,0,9.09,13.64,4.55,9.09,0,0,4.55,0,0,4.55,0,13.64,4.55,9.09,4.55,0,4.55,0,4.55,0,0,18.18,4.55,0,0,0,4.55,0,13.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.64,4.55,0,0,4.55,0,0,0,4.55,4.55,9.09,0,0,0,0,0,0,13.64,9.09,0,0,0,4.55,0,0
gw6r7f,655d0ae8f1c1b5001f5cb4d5,control,1,,,,,1,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0,0,100,0,0,0
gw6r7f,N/A,control,8,1,,,99,8,25,87.5,75,62.5,12.5,0,0,0,0,0,0,12.5,0,0,0,0,12.5,25,25,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,12.5,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0
