StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,timer.pol.int_First Click,timer.pol.int_Last Click,timer.pol.int_Page Submit,timer.pol.int_Click Count,political_interest,timer.policy.pre_First Click,timer.policy.pre_Last Click,timer.policy.pre_Page Submit,timer.policy.pre_Click Count,pre_policy_imm,pre_policy_gc,timer.pre.therms_First Click,timer.pre.therms_Last Click,timer.pre.therms_Page Submit,timer.pre.therms_Click Count,pre_therm_1,pre_therm_2,timer.pre.ih_First Click,timer.pre.ih_Last Click,timer.pre.ih_Page Submit,timer.pre.ih_Click Count,pre_ih_1,pre_ih_2,pre_ih_3,pre_ih_4,pre_ih_5,pre_ih_6,timer.zip_First Click,timer.zip_Last Click,timer.zip_Page Submit,timer.zip_Click Count,zip,Q97_First Click,Q97_Last Click,Q97_Page Submit,Q97_Click Count,timer.ob.buttons_First Click,timer.ob.buttons_Last Click,timer.ob.buttons_Page Submit,timer.ob.buttons_Click Count,timer.ob.author_First Click,timer.ob.author_Last Click,timer.ob.author_Page Submit,timer.ob.author_Click Count,timer.ob.status_First Click,timer.ob.status_Last Click,timer.ob.status_Page Submit,timer.ob.status_Click Count,Q111_First Click,Q111_Last Click,Q111_Page Submit,Q111_Click Count,participant_code,Party1,Party2,topic,treatment_arm
12/12/2023 10:20,12/12/2023 10:23,100,202,TRUE,12/12/2023 10:23,20.502,21.381,21.973,2,About half the time,11.235,28.164,28.788,7,Somewhat agree,Strongly agree,18.611,27.04,27.629,5,80,20,17.528,43.907,44.478,9,Somewhat well,Very well,Very well,Very well,Extremely well,Very well,4.659,4.659,8.592,1,44149,0,0,20.201,0,0,0,19.012,0,0,0,16.821,0,,,,,0,0,8.658,0,zf1er9,Democratic,Republican,immigration,imm_pc
12/12/2023 10:22,12/12/2023 10:24,100,99,TRUE,12/12/2023 10:24,5.778,5.778,6.673,1,Most of the time,8.7,13.018,13.483,3,Agree,Strongly agree,8.621,14.226,18.439,4,10,90,3.984,20.428,21.578,9,Very well,Extremely well,Very well,Very well,Extremely well,Very well,1.169,1.169,3.898,1,27265,0,0,6.065,0,0,0,5.501,0,0,0,3.494,0,0,0,9.686,0,0,0,6.244,0,8gch37,Republican,Democratic,immigration,imm_treat
12/12/2023 10:31,12/12/2023 10:35,100,289,TRUE,12/12/2023 10:35,12.198,12.198,15.159,1,About half the time,13.831,23.455,29.748,2,Strongly agree,Strongly disagree,31.084,41.59,42.967,4,30,70,26.44,89.394,90.541,7,Not at all well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,3.073,3.073,8.249,1,52353,0,0,18.055,0,0,0,31.299,0,0,0,17.069,0,0,0,18.074,0,0,0,9.389,0,nyuhem,Republican,Democratic,gun control,gc_control3
12/12/2023 10:35,12/12/2023 10:37,100,143,TRUE,12/12/2023 10:37,32.767,32.767,33.661,1,All the time,3.489,6.237,6.901,2,Strongly disagree,Strongly agree,5.226,14.628,15.277,4,60,10,4.735,24.53,25.254,8,Somewhat well,Very well,Very well,Extremely well,Somewhat well,Somewhat well,1.589,1.589,5.493,1,06354,0,0,11.501,0,0,0,12.069,0,6.407,6.407,8.174,1,0,0,11.428,0,0,0,5.852,0,gw6r7f,Democratic,Republican,immigration,imm_control2
12/12/2023 10:38,12/12/2023 10:39,100,88,TRUE,12/12/2023 10:39,7.488,7.488,8.402,1,About half the time,7.051,11.028,11.991,3,Disagree,Strongly agree,4.123,9.858,13.701,5,40,60,5.336,22.712,23.301,13,Somewhat well,Very well,Very well,Somewhat well,Very well,Extremely well,1.748,1.748,5.016,1,28540,0,0,6.798,0,0,0,4.231,0,0,0,2.851,0,,,,,0,0,6.642,0,2d3axv,Democratic,Republican,immigration,imm_pc
12/12/2023 10:40,12/12/2023 10:42,100,112,TRUE,12/12/2023 10:42,7.881,7.881,8.556,1,Most of the time,7.319,12.508,13.694,2,Disagree,Somewhat agree,6.832,10.808,13.583,2,40,30,7.702,24.803,26.374,10,Not too well,Somewhat well,Somewhat well,Somewhat well,Very well,Very well,1.391,1.391,3.961,1,30518,0,0,6.381,0,0,0,12.643,0,0,0,6.708,0,0,0,6.648,0,0,0,8.101,0,hfyv7m,Democratic,Republican,immigration,imm_control1
12/12/2023 10:40,12/12/2023 10:42,100,96,TRUE,12/12/2023 10:42,7.373,7.373,8.029,1,Most of the time,5.686,17.927,18.396,3,Strongly disagree,Strongly agree,5.54,9.12,10.39,4,50,2,3.599,14.904,15.388,9,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,3.416,3.416,6.52,1,46907,4.097,4.097,6.202,1,0,0,5.832,0,0,0,1.518,0,,,,,0,0,3.087,0,3y76hr,Democratic,Republican,gun control,gc_pc
12/12/2023 10:40,12/12/2023 10:43,100,133,TRUE,12/12/2023 10:43,13.182,13.182,14.129,1,Once in a while,12.449,17.743,18.324,3,Neither agree nor disagree,Neither agree nor disagree,6.364,9.423,13.832,3,50,50,18.634,38.668,39.5,9,Somewhat well,Somewhat well,Somewhat well,Somewhat well,Not too well,Very well,3.324,3.324,6.3,1,17098,0,0,3.512,0,0,0,10.45,0,0,0,6.907,0,,,,,12.375,12.375,13.297,1,z6kvee,Republican,Democratic,gun control,gc_pc
12/12/2023 10:43,12/12/2023 10:45,100,128,TRUE,12/12/2023 10:45,23.478,23.478,24.971,1,Most of the time,4.052,6.677,7.692,2,Somewhat agree,Strongly agree,10.453,14.817,17.802,2,45,46,4.567,37.667,38.753,8,Very well,Extremely well,Very well,Very well,Extremely well,Extremely well,1.712,1.712,4.833,1,95315,0,0,6.459,0,0,0,5.479,0,0,0,3.7,0,0,0,7.386,0,0,0,5.755,0,17xpyv,Republican,Democratic,gun control,gc_treat
12/12/2023 10:46,12/12/2023 10:48,100,110,TRUE,12/12/2023 10:48,9.335,9.335,10.1,1,About half the time,6.301,11.132,12.155,2,Somewhat disagree,Agree,6.743,16.503,17.067,5,20,20,9.447,27.444,28.093,8,Somewhat well,Somewhat well,Very well,Very well,Very well,Very well,1.6,1.6,5.544,1,55421,0,0,7.29,0,0,0,13.133,0,0,0,5.342,0,,,,,0,0,7.534,0,vn93qp,Republican,Democratic,immigration,imm_pc
12/12/2023 10:44,12/12/2023 10:49,100,304,TRUE,12/12/2023 10:49,14.282,14.282,17.64,1,Most of the time,6.511,16.264,17.504,2,Somewhat agree,Strongly disagree,27.633,31.434,36.177,2,35,60,91.474,115.161,115.767,8,Somewhat well,Very well,Very well,Very well,Very well,Very well,1.524,1.524,6.915,1,95630,0,0,10.011,0,0,0,5.778,0,0,0,82.272,0,,,,,0,0,7.037,0,bhaxwm,Democratic,Republican,gun control,gc_pc
12/12/2023 10:47,12/12/2023 10:50,100,194,TRUE,12/12/2023 10:50,16.748,16.748,17.577,1,Once in a while,11.544,28.725,30.037,4,Agree,Strongly agree,19.97,26.813,31.182,4,40,60,17.774,73.86,74.907,8,Somewhat well,Somewhat well,Somewhat well,Very well,Somewhat well,Not too well,1.661,1.661,6.393,1,90250,0,0,7.929,0,0,0,10.419,0,6.695,6.695,6.715,1,1.99,1.99,2.617,1,0,0,1.032,0,yh7tru,Republican,Democratic,gun control,gc_treat
12/12/2023 10:51,12/12/2023 10:53,100,130,TRUE,12/12/2023 10:53,7.963,8.531,8.976,2,About half the time,5.223,11.041,11.4,3,Somewhat agree,Strongly disagree,7.27,19.937,25.325,5,85,40,6.458,33.768,34.439,8,Somewhat well,Very well,Very well,Somewhat well,Extremely well,Very well,1.542,1.542,4.323,1,74137,0,0,8.785,0,0,0,13.064,0,0,0,3.216,0,0,0,5.141,0,0,0,6.223,0,cw7ecf,Republican,Democratic,gun control,gc_control3
12/12/2023 10:51,12/12/2023 10:53,100,169,TRUE,12/12/2023 10:53,10.389,13.211,14.106,2,About half the time,6.644,11.945,13.851,2,Disagree,Strongly agree,12.356,23.74,27.593,3,90,2,9.743,39.705,40.605,8,Not too well,Very well,Very well,Not too well,Not too well,Very well,2.168,8.902,8.937,2,10032,0,0,10.723,0,0,0,26.501,0,0,0,10.424,0,,,,,0,0,9.637,0,d1qxrb,Democratic,Republican,gun control,gc_pc
12/12/2023 10:53,12/12/2023 10:55,100,140,TRUE,12/12/2023 10:55,10.27,10.27,11.45,1,About half the time,10.064,19.34,20.746,4,Agree,Neither agree nor disagree,1.245,20.087,26.801,7,60,50,5.759,29.221,30.187,10,Very well,Extremely well,Very well,Very well,Very well,Very well,1.642,1.642,5.781,1,34652,0,0,9.72,0,0,0,8.191,0,0,0,5.3,0,0,0,9.029,0,0,0,7.77,0,be7fp8,Democratic,Republican,gun control,gc_control3
12/12/2023 10:53,12/12/2023 10:56,100,166,TRUE,12/12/2023 10:56,16.297,16.297,16.941,1,Most of the time,2.039,16.501,17.324,4,Somewhat disagree,Somewhat agree,8.202,34.377,36.958,6,60,80,20.979,47.831,48.45,14,Somewhat well,Somewhat well,Very well,Very well,Very well,Very well,4.845,4.845,9.261,1,98010,0,0,9.282,0,0,0,6.656,0,0,0,8.189,0,,,,,0,0,8.723,0,ygy4a2,Republican,Democratic,gun control,gc_pc
12/12/2023 10:53,12/12/2023 10:57,100,217,TRUE,12/12/2023 10:57,13.342,13.342,14.324,1,About half the time,9.008,16.77,18.807,4,Strongly disagree,Somewhat disagree,12.813,18.607,23.898,2,70,10,22.753,48.204,48.861,13,Very well,Very well,Somewhat well,Very well,Somewhat well,Not too well,1.301,1.301,4.701,1,85282,0,0,13.825,0,0,0,12.477,0,0,0,54.333,0,0,0,13.315,0,0,0,6.576,0,xqp617,Republican,Democratic,immigration,imm_control3
12/12/2023 10:59,12/12/2023 11:01,100,132,TRUE,12/12/2023 11:01,10.108,10.108,10.924,1,Most of the time,11.959,24.637,25.11,4,Somewhat agree,Agree,5.203,22.903,28.836,3,60,30,7.263,38.837,39.506,10,Somewhat well,Somewhat well,Somewhat well,Very well,Very well,Very well,0.911,0.911,4.388,1,77571,0,0,2.583,0,0,0,3.157,0,0,0,2.277,0,0,0,0.981,0,0,0,8.573,0,9kak79,Democratic,Republican,gun control,gc_control3
12/12/2023 11:02,12/12/2023 11:06,100,205,TRUE,12/12/2023 11:06,9.573,9.573,10.719,1,Almost Never,37.244,45.279,48.332,3,Neither agree nor disagree,Strongly agree,18.607,32.402,33.207,6,100,10,10.245,63.013,64.568,8,Not too well,Somewhat well,Not too well,Somewhat well,Somewhat well,Somewhat well,2.968,2.968,6.848,1,01463,0,0,8.251,0,0,0,9.369,0,0,0,3.351,0,0,0,9.262,0,0,0,6.373,0,6ehu8e,Democratic,Republican,gun control,gc_control3
