third_order_A1,third_order_A2,third_order_B1,third_order_B2,participant_code
,,1,1,8gch37
,,1,0,zf1er9
1,1,,,nyuhem
0,1,,,2d3axv
,,1,1,3y76hr
0,0,,,gw6r7f
1,0,,,17xpyv
,,1,1,vn93qp
1,0,,,bhaxwm
,,0,0,z6kvee
,,1,1,hfyv7m
,,1,1,cw7ecf
,,0,1,d1qxrb
,,0,1,ygy4a2
1,1,,,be7fp8
1,1,,,9kak79
,,1,1,gqbhc6
,,0,0,6ehu8e
1,1,,,bpdwma
,,1,1,arauec
0,0,,,bkq96u
1,1,,,dhebqd
,,1,0,69txah
1,0,,,d24txf
,,1,1,a72n2t
1,1,,,92zz8z
,,1,0,4uq4fk
,,1,1,1z32ep
0,0,,,zzmpme
,,1,0,apkdw9
,,0,1,4z166b
,,1,1,8wkqc7
0,0,,,cay6fh
1,1,,,4rfvrt
1,1,,,3pp1gp
,,0,0,bbvx2g
1,1,,,6k3pb2
1,1,,,xzx7b3
1,1,,,nfe7zr
1,1,,,tx2pk8
0,1,,,yvmftg
,,1,1,6yzdq8
,,0,1,r1w289
,,1,1,r9ffv2
1,1,,,e7bnfe
,,1,1,xmv6q8
,,1,1,1art8b
1,1,,,7ek8b4
1,1,,,cczavu
,,1,1,37up4n
,,0,0,ttyvm4
,,1,1,7wg4ue
,,0,1,c67ank
,,1,0,y9bed8
1,1,,,hwn2az
,,1,1,cfhxn6
1,0,,,wkxrha
,,0,1,zgq7c4
1,1,,,21cdad
0,0,,,7yrm8n
1,1,,,tgytzy
,,1,1,qq6rnr
,,1,1,g33yme
,,0,1,u6agm4
0,0,,,a43n36
1,1,,,6p9ykt
,,1,0,8vetwa
1,0,,,yxxgbb
1,1,,,qgzxn8
,,0,1,zhm1aa
1,1,,,2dvw8w
1,1,,,uzwgay
1,1,,,pvctry
0,1,,,gqy7wz
1,0,,,kq86b6
1,1,,,htv7zf
0,1,,,gxe7d4
,,1,1,bgqbqq
1,0,,,yve1qb
1,1,,,rp663f
