ResponseId,ih_ranking_full_DO,statement_id,text,humility,uncertainty,respect,limitations,female,age,white,hispanic_ind,college,seven_point_party_num,im_views,gc_views,cc_views
R_3nUFvaKe0wRynLB,"We need to do more to protect our country from global warming. Anyone who does not agree is an idiot. The signs are obvious. We must act before it's too late.|I don't know what the US is doing to prevent climate change, but I feel like we should be doing more. I'm no expert, but it seems like we're a big, rich country that can set an example for the world. Maybe we can make a big impact on climate change. Although I would like to hear what other people have to say.|Immigration probably brings in new workers for businesses. I believe that many immigrants are willing to start at the bottom and work their way up. This can be helpful for a society where many people might not want to work the entry level jobs. Perhaps, this may keep costs lower.|Gun ownership is a complex issue. The rate of gun violence is a serious concern. The number of mass shootings in this country outweigh every other country in the world. Even the majority of gun owners are in favor of stricter gun laws. I think most people can agree that far too many people are dying from gun violence to ignore the issue any longer.|I think it is quite obvious that the U.S. should do more to prevent climate change and extreme weather events. There is no other correct opinion on the matter. People who disagree need to educate themselves more. We must listen to scientists and their findings.",cc_IHn_180_0,We need to do more to protect our country from global warming. Anyone who does not agree is an idiot. The signs are obvious. We must act before it's too late.,0,0,0,0,1,28,1,0,1,0,Neither agree nor disagree,Somewhat agree,Somewhat disagree
R_3nUFvaKe0wRynLB,"We need to do more to protect our country from global warming. Anyone who does not agree is an idiot. The signs are obvious. We must act before it's too late.|I don't know what the US is doing to prevent climate change, but I feel like we should be doing more. I'm no expert, but it seems like we're a big, rich country that can set an example for the world. Maybe we can make a big impact on climate change. Although I would like to hear what other people have to say.|Immigration probably brings in new workers for businesses. I believe that many immigrants are willing to start at the bottom and work their way up. This can be helpful for a society where many people might not want to work the entry level jobs. Perhaps, this may keep costs lower.|Gun ownership is a complex issue. The rate of gun violence is a serious concern. The number of mass shootings in this country outweigh every other country in the world. Even the majority of gun owners are in favor of stricter gun laws. I think most people can agree that far too many people are dying from gun violence to ignore the issue any longer.|I think it is quite obvious that the U.S. should do more to prevent climate change and extreme weather events. There is no other correct opinion on the matter. People who disagree need to educate themselves more. We must listen to scientists and their findings.",cc_IHy_112_0,"I don't know what the US is doing to prevent climate change, but I feel like we should be doing more. I'm no expert, but it seems like we're a big, rich country that can set an example for the world. Maybe we can make a big impact on climate change. Although I would like to hear what other people have to say.",100,100,100,100,1,28,1,0,1,0,Neither agree nor disagree,Somewhat agree,Somewhat disagree
R_3nUFvaKe0wRynLB,"We need to do more to protect our country from global warming. Anyone who does not agree is an idiot. The signs are obvious. We must act before it's too late.|I don't know what the US is doing to prevent climate change, but I feel like we should be doing more. I'm no expert, but it seems like we're a big, rich country that can set an example for the world. Maybe we can make a big impact on climate change. Although I would like to hear what other people have to say.|Immigration probably brings in new workers for businesses. I believe that many immigrants are willing to start at the bottom and work their way up. This can be helpful for a society where many people might not want to work the entry level jobs. Perhaps, this may keep costs lower.|Gun ownership is a complex issue. The rate of gun violence is a serious concern. The number of mass shootings in this country outweigh every other country in the world. Even the majority of gun owners are in favor of stricter gun laws. I think most people can agree that far too many people are dying from gun violence to ignore the issue any longer.|I think it is quite obvious that the U.S. should do more to prevent climate change and extreme weather events. There is no other correct opinion on the matter. People who disagree need to educate themselves more. We must listen to scientists and their findings.",cc_IHn_69_3,I think it is quite obvious that the U.S. should do more to prevent climate change and extreme weather events. There is no other correct opinion on the matter. People who disagree need to educate themselves more. We must listen to scientists and their findings.,0,10,0,0,1,28,1,0,1,0,Neither agree nor disagree,Somewhat agree,Somewhat disagree
R_3nUFvaKe0wRynLB,"We need to do more to protect our country from global warming. Anyone who does not agree is an idiot. The signs are obvious. We must act before it's too late.|I don't know what the US is doing to prevent climate change, but I feel like we should be doing more. I'm no expert, but it seems like we're a big, rich country that can set an example for the world. Maybe we can make a big impact on climate change. Although I would like to hear what other people have to say.|Immigration probably brings in new workers for businesses. I believe that many immigrants are willing to start at the bottom and work their way up. This can be helpful for a society where many people might not want to work the entry level jobs. Perhaps, this may keep costs lower.|Gun ownership is a complex issue. The rate of gun violence is a serious concern. The number of mass shootings in this country outweigh every other country in the world. Even the majority of gun owners are in favor of stricter gun laws. I think most people can agree that far too many people are dying from gun violence to ignore the issue any longer.|I think it is quite obvious that the U.S. should do more to prevent climate change and extreme weather events. There is no other correct opinion on the matter. People who disagree need to educate themselves more. We must listen to scientists and their findings.",gc_IHy_31_3,Gun ownership is a complex issue. The rate of gun violence is a serious concern. The number of mass shootings in this country outweigh every other country in the world. Even the majority of gun owners are in favor of stricter gun laws. I think most people can agree that far too many people are dying from gun violence to ignore the issue any longer.,50,100,0,0,1,28,1,0,1,0,Neither agree nor disagree,Somewhat agree,Somewhat disagree
R_3nUFvaKe0wRynLB,"We need to do more to protect our country from global warming. Anyone who does not agree is an idiot. The signs are obvious. We must act before it's too late.|I don't know what the US is doing to prevent climate change, but I feel like we should be doing more. I'm no expert, but it seems like we're a big, rich country that can set an example for the world. Maybe we can make a big impact on climate change. Although I would like to hear what other people have to say.|Immigration probably brings in new workers for businesses. I believe that many immigrants are willing to start at the bottom and work their way up. This can be helpful for a society where many people might not want to work the entry level jobs. Perhaps, this may keep costs lower.|Gun ownership is a complex issue. The rate of gun violence is a serious concern. The number of mass shootings in this country outweigh every other country in the world. Even the majority of gun owners are in favor of stricter gun laws. I think most people can agree that far too many people are dying from gun violence to ignore the issue any longer.|I think it is quite obvious that the U.S. should do more to prevent climate change and extreme weather events. There is no other correct opinion on the matter. People who disagree need to educate themselves more. We must listen to scientists and their findings.",im_IHn_123_2,"Immigration probably brings in new workers for businesses. I believe that many immigrants are willing to start at the bottom and work their way up. This can be helpful for a society where many people might not want to work the entry level jobs. Perhaps, this may keep costs lower.",75,100,100,50,1,28,1,0,1,0,Neither agree nor disagree,Somewhat agree,Somewhat disagree
R_27KDn4cNdcHJ3zc,"We need to do more to protect our country from global warming. Anyone who does not agree is an idiot. The signs are obvious. We must act before it's too late.|I don't know what the US is doing to prevent climate change, but I feel like we should be doing more. I'm no expert, but it seems like we're a big, rich country that can set an example for the world. Maybe we can make a big impact on climate change. Although I would like to hear what other people have to say.|Recent immigration has definitely been very beneficial to us. Immigrants put more money into the economy by the just being out here. We can all work together to make this country great through acceptance and inclusion. This is the only way and must be done.|I feel gun ownership laws should be stricter. I understand lots of people love guns and the Second Amendment gives people the right to be armed. However, I think if we just talk to each other we can come up with some solutions. Mass shootings are becoming commonplace and while I don't claim to have all of the answers, something like an assault weapons ban might help.|I can empathize with those who don't see the need for us to work on climate issues and save our future. It's a complex issue and I don't pretend to have all the answers myself. That's why, in my opinion, it's a good idea to research and read on the issues so we can all develop a better understanding.",cc_IHn_180_0,We need to do more to protect our country from global warming. Anyone who does not agree is an idiot. The signs are obvious. We must act before it's too late.,0,0,0,0,0,57,1,0,1,-3,Strongly disagree,Strongly disagree,Strongly disagree
R_27KDn4cNdcHJ3zc,"We need to do more to protect our country from global warming. Anyone who does not agree is an idiot. The signs are obvious. We must act before it's too late.|I don't know what the US is doing to prevent climate change, but I feel like we should be doing more. I'm no expert, but it seems like we're a big, rich country that can set an example for the world. Maybe we can make a big impact on climate change. Although I would like to hear what other people have to say.|Recent immigration has definitely been very beneficial to us. Immigrants put more money into the economy by the just being out here. We can all work together to make this country great through acceptance and inclusion. This is the only way and must be done.|I feel gun ownership laws should be stricter. I understand lots of people love guns and the Second Amendment gives people the right to be armed. However, I think if we just talk to each other we can come up with some solutions. Mass shootings are becoming commonplace and while I don't claim to have all of the answers, something like an assault weapons ban might help.|I can empathize with those who don't see the need for us to work on climate issues and save our future. It's a complex issue and I don't pretend to have all the answers myself. That's why, in my opinion, it's a good idea to research and read on the issues so we can all develop a better understanding.",cc_IHy_112_0,"I don't know what the US is doing to prevent climate change, but I feel like we should be doing more. I'm no expert, but it seems like we're a big, rich country that can set an example for the world. Maybe we can make a big impact on climate change. Although I would like to hear what other people have to say.",90,90,90,95,0,57,1,0,1,-3,Strongly disagree,Strongly disagree,Strongly disagree
R_27KDn4cNdcHJ3zc,"We need to do more to protect our country from global warming. Anyone who does not agree is an idiot. The signs are obvious. We must act before it's too late.|I don't know what the US is doing to prevent climate change, but I feel like we should be doing more. I'm no expert, but it seems like we're a big, rich country that can set an example for the world. Maybe we can make a big impact on climate change. Although I would like to hear what other people have to say.|Recent immigration has definitely been very beneficial to us. Immigrants put more money into the economy by the just being out here. We can all work together to make this country great through acceptance and inclusion. This is the only way and must be done.|I feel gun ownership laws should be stricter. I understand lots of people love guns and the Second Amendment gives people the right to be armed. However, I think if we just talk to each other we can come up with some solutions. Mass shootings are becoming commonplace and while I don't claim to have all of the answers, something like an assault weapons ban might help.|I can empathize with those who don't see the need for us to work on climate issues and save our future. It's a complex issue and I don't pretend to have all the answers myself. That's why, in my opinion, it's a good idea to research and read on the issues so we can all develop a better understanding.",cc_IHn_48_2,"I can empathize with those who don't see the need for us to work on climate issues and save our future. It's a complex issue and I don't pretend to have all the answers myself. That's why, in my opinion, it's a good idea to research and read on the issues so we can all develop a better understanding.",76,58,87,80,0,57,1,0,1,-3,Strongly disagree,Strongly disagree,Strongly disagree
R_27KDn4cNdcHJ3zc,"We need to do more to protect our country from global warming. Anyone who does not agree is an idiot. The signs are obvious. We must act before it's too late.|I don't know what the US is doing to prevent climate change, but I feel like we should be doing more. I'm no expert, but it seems like we're a big, rich country that can set an example for the world. Maybe we can make a big impact on climate change. Although I would like to hear what other people have to say.|Recent immigration has definitely been very beneficial to us. Immigrants put more money into the economy by the just being out here. We can all work together to make this country great through acceptance and inclusion. This is the only way and must be done.|I feel gun ownership laws should be stricter. I understand lots of people love guns and the Second Amendment gives people the right to be armed. However, I think if we just talk to each other we can come up with some solutions. Mass shootings are becoming commonplace and while I don't claim to have all of the answers, something like an assault weapons ban might help.|I can empathize with those who don't see the need for us to work on climate issues and save our future. It's a complex issue and I don't pretend to have all the answers myself. That's why, in my opinion, it's a good idea to research and read on the issues so we can all develop a better understanding.",gc_IHy_22_0,"I feel gun ownership laws should be stricter. I understand lots of people love guns and the Second Amendment gives people the right to be armed. However, I think if we just talk to each other we can come up with some solutions. Mass shootings are becoming commonplace and while I don't claim to have all of the answers, something like an assault weapons ban might help.",60,55,67,60,0,57,1,0,1,-3,Strongly disagree,Strongly disagree,Strongly disagree
R_27KDn4cNdcHJ3zc,"We need to do more to protect our country from global warming. Anyone who does not agree is an idiot. The signs are obvious. We must act before it's too late.|I don't know what the US is doing to prevent climate change, but I feel like we should be doing more. I'm no expert, but it seems like we're a big, rich country that can set an example for the world. Maybe we can make a big impact on climate change. Although I would like to hear what other people have to say.|Recent immigration has definitely been very beneficial to us. Immigrants put more money into the economy by the just being out here. We can all work together to make this country great through acceptance and inclusion. This is the only way and must be done.|I feel gun ownership laws should be stricter. I understand lots of people love guns and the Second Amendment gives people the right to be armed. However, I think if we just talk to each other we can come up with some solutions. Mass shootings are becoming commonplace and while I don't claim to have all of the answers, something like an assault weapons ban might help.|I can empathize with those who don't see the need for us to work on climate issues and save our future. It's a complex issue and I don't pretend to have all the answers myself. That's why, in my opinion, it's a good idea to research and read on the issues so we can all develop a better understanding.",im_IHy_103_1,Recent immigration has definitely been very beneficial to us. Immigrants put more money into the economy by the just being out here. We can all work together to make this country great through acceptance and inclusion. This is the only way and must be done.,20,40,30,16,0,57,1,0,1,-3,Strongly disagree,Strongly disagree,Strongly disagree
